4145962_0	tell me what is the people 's job title	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_1	tell me what is the persons job title .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_2	show the position of people named QUOTED_STRING_0	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_3	show me the position of those named QUOTED_STRING_0	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_4	which QUOTED_STRING_0 person understands azerbaijan and get college degrees hiram college	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " hiram college " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) && id =~ QUOTED_STRING_0 ;
4145962_5	what QUOTED_STRING_0 person understands azerbaijan and attained college degrees hiram college	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " hiram college " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) && id =~ QUOTED_STRING_0 ;
4145962_6	show me what the college degrees where the person with no fewer than 1 award , and have job title being QUOTED_STRING_0 was graduated .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( award ) >= 1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_7	show me where with college degress a person with no fewer than 1 award , and have job title being QUOTED_STRING_0 graduated .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( award ) >= 1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_8	what are the job titles of these people ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_9	of people listed , what are their job titles ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_10	what is the position of people named QUOTED_STRING_0 ?	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_11	of people named QUOTED_STRING_0 , list their position .	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_12	which QUOTED_STRING_0 person listed understands azerbaijan and received college degrees from hiram college ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " hiram college " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) && id =~ QUOTED_STRING_0 ;
4145962_13	find QUOTED_STRING_0 who understands azerbaijan and received college degrees from hiram college .	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " hiram college " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) && id =~ QUOTED_STRING_0 ;
4145962_14	what are the college degrees of the person with more than NUMBER_0 awards , and have job title being QUOTED_STRING_0 .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( award ) >= 1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_15	what are the college degrees of the person with at least one award , who has job title QUOTED_STRING_0 .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( award ) >= 1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_16	text me what 's the job title of people .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_17	message me what 's the job title of people .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_18	text me what 's the position of people named QUOTED_STRING_0	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_19	tell me what 's the position of people named QUOTED_STRING_0	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_20	tell me , what QUOTED_STRING_0 person understands azerbaijan and get college degrees hiram college	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " hiram college " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) && id =~ QUOTED_STRING_0 ;
4145962_21	show me , what QUOTED_STRING_0 person understands azerbaijan and get college degrees hiram college	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " hiram college " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) && id =~ QUOTED_STRING_0 ;
4145962_22	text me what is the college degrees which the person which have no fewer than 1 award , and have job title being QUOTED_STRING_0 was graduated .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( award ) >= 1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_23	tell me what is the college degrees which the person which have no fewer than 1 award , and have job title being QUOTED_STRING_0 was graduated .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( award ) >= 1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_24	i need people who have mastered no languages who work for groupe danone .	@org.schema.Person . Person ( ) filter contains ( worksFor , null ^^org.schema.Person:Organization ( " groupe danone " ) ) && count ( knowsLanguage ) <= 0 ;
4145962_25	of those who work at groupe danone , find me those who have mastered zero languages .	@org.schema.Person . Person ( ) filter contains ( worksFor , null ^^org.schema.Person:Organization ( " groupe danone " ) ) && count ( knowsLanguage ) <= 0 ;
4145962_26	find me QUOTED_STRING_0 , a QUOTED_STRING_1 , located in the city of QUOTED_STRING_2 .	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_27	locate QUOTED_STRING_0 with job title QUOTED_STRING_1 in the city of QUOTED_STRING_2 .	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_28	where did QUOTED_STRING_0 with job title QUOTED_STRING_1 graduate from ?	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_29	what 's the alma mater of QUOTED_STRING_0 a person having the job title of QUOTED_STRING_1 .	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_30	which people work here that have more than 12 alma maters ?	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 12 && workLocation == $location . current_location ;
4145962_31	of the people with more than 12 alma maters , which of them work here ?	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 12 && workLocation == $location . current_location ;
4145962_32	i desire an people with at most NUMBER_0 languages mastered which works for groupe danone	@org.schema.Person . Person ( ) filter contains ( worksFor , null ^^org.schema.Person:Organization ( " groupe danone " ) ) && count ( knowsLanguage ) <= 0 ;
4145962_33	i demand an people with at most NUMBER_0 languages mastered which works for groupe danone	@org.schema.Person . Person ( ) filter contains ( worksFor , null ^^org.schema.Person:Organization ( " groupe danone " ) ) && count ( knowsLanguage ) <= 0 ;
4145962_34	what QUOTED_STRING_0 person is both QUOTED_STRING_1 , and have QUOTED_STRING_2 as city ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_35	tell me , what QUOTED_STRING_0 person is QUOTED_STRING_1 , and have QUOTED_STRING_2 as city ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_36	text me what 's the alma maters that the QUOTED_STRING_0 person having job title being QUOTED_STRING_1 were graduated from	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_37	get me what 's the alma maters that the QUOTED_STRING_0 person having job title being QUOTED_STRING_1 were graduated from	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_38	what people both get more than 12 alma maters and work location equal to here	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 12 && workLocation == $location . current_location ;
4145962_39	what current people get more than 12 alma maters and work location equal to here	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 12 && workLocation == $location . current_location ;
4145962_42	find a person named QUOTED_STRING_0 who is a QUOTED_STRING_1 and lives in QUOTED_STRING_2	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_43	i need to find a QUOTED_STRING_0 named QUOTED_STRING_1 from QUOTED_STRING_2	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && id =~ QUOTED_STRING_1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_44	find me a QUOTED_STRING_0 named QUOTED_STRING_1 and tell me what is their alma maters	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_45	find a person named QUOTED_STRING_0 who works as QUOTED_STRING_1 and tell me what college they graduated from	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_46	find people with over 12 alma maters whose work location is listed as here	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 12 && workLocation == $location . current_location ;
4145962_47	find people who have over 12 alma maters and work here	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 12 && workLocation == $location . current_location ;
4145962_48	for the person show me their email and phone number	[ email , telephone ] of @org.schema.Person . Person ( ) ;
4145962_49	i need the phone number along with email of the person	[ email , telephone ] of @org.schema.Person . Person ( ) ;
4145962_54	for people with 1 language mastered , show me the work location	[ workLocation ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_55	find the people 's work location who has 1 language mastered	[ workLocation ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_56	get me the email and phone number of person	[ email , telephone ] of @org.schema.Person . Person ( ) ;
4145962_57	fetch me the email and phone number of person	[ email , telephone ] of @org.schema.Person . Person ( ) ;
4145962_58	tell me , what is the email of people called QUOTED_STRING_0	[ email ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_59	text me , what is the email of people called QUOTED_STRING_0	[ email ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_60	fetch me what is the job title of QUOTED_STRING_0 person .	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_61	get me what is the job title of QUOTED_STRING_0 person .	[ jobTitle ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_62	tell me what is the work location of people with 1 language mastered	[ workLocation ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_63	email me what is the work location of people with 1 language mastered	[ workLocation ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_64	what is the person 's email address and phone number ?	[ email , telephone ] of @org.schema.Person . Person ( ) ;
4145962_65	find the person 's email address and phone number .	[ email , telephone ] of @org.schema.Person . Person ( ) ;
4145962_70	i want to know the work location of people who have mastered 1 language .	[ workLocation ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_71	tell me the work location of people who are fluent in 1 language .	[ workLocation ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_72	tell me the people who have at most 8 universities and the title QUOTED_STRING_0	@org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_73	for people with the position QUOTED_STRING_0 and at most 8 universities , give me a list	@org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_74	give me the number of QUOTED_STRING_0	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_75	i 'd like to know the number of QUOTED_STRING_0	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_76	give me the languages the person has mastered	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_77	i want a list of the languages mastered by person	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_78	give me the number and email for the person with fewer than 3 awards	[ email , telephone ] of @org.schema.Person . Person ( ) filter count ( award ) <= 3 ;
4145962_79	for the person with fewer than 3 awards , i 'd like an email and number	[ email , telephone ] of @org.schema.Person . Person ( ) filter count ( award ) <= 3 ;
4145962_80	tell me , what are people with at most 8 universities , that have QUOTED_STRING_0 as position	@org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_81	text me , what are people with at most 8 universities , that have QUOTED_STRING_0 as position	@org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_82	what is the telephone do QUOTED_STRING_0 person have	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_83	what telephone number do QUOTED_STRING_0 person have	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_84	text me what is the languages mastered which person masters .	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_85	fetch me what is the languages mastered which person masters .	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_86	fetch the email and telephone of person having fewer than 3 awards	[ email , telephone ] of @org.schema.Person . Person ( ) filter count ( award ) <= 3 ;
4145962_87	grab the email and telephone of person having fewer than 3 awards	[ email , telephone ] of @org.schema.Person . Person ( ) filter count ( award ) <= 3 ;
4145962_88	find people with the position of QUOTED_STRING_0 who have attended 8 or fewer universities .	@org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_89	list people who have no more than 8 universities and who have the position equal to QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_90	what is the telephone number for QUOTED_STRING_0 ?	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_91	please provide the phone number for QUOTED_STRING_0 .	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_92	what languages have been mastered by which person ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_93	list the languages mastered by which person .	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
