2643	text me the address of the restaurants with the fewest review count .	[ geo ] of sort ( aggregateRating . reviewCount asc of @org.schema.Restaurant . Restaurant ( ) ) [ 1 ] ;
1523	what 's the location of restaurants close by that offer QUOTED_STRING_0 cuisine ?	[ geo ] of @org.schema.Restaurant . Restaurant ( ) filter geo == $location . current_location && servesCuisine =~ QUOTED_STRING_0 ;
1677	find me the zip code of a restaurant from LOCATION_0 city	[ address . postalCode ] of @org.schema.Restaurant . Restaurant ( ) filter geo == LOCATION_0 ;
1798	get the country of restaurants with rating equal to NUMBER_0	[ address . addressCountry ] of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue == NUMBER_0 ;
876	how near is the restaurant with QUOTED_STRING_0 as postal code with the tiniest number of reviews to work	[ distance ( geo , $location . work ) ] of sort ( aggregateRating . reviewCount asc of @org.schema.Restaurant . Restaurant ( ) filter address . postalCode =~ QUOTED_STRING_0 ) [ 1 ] ;
2150	how far are the nearest restaurant with NUMBER_0 evaluations in distiction to home	[ distance ( geo , $location . home ) ] of sort ( distance ( geo , $location . current_location ) asc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . reviewCount == NUMBER_0 ) [ 1 ] ;
192	name the restaurants with a PHONE_NUMBER_0 phone number that serve QUOTED_STRING_0 dishes .	@org.schema.Restaurant . Restaurant ( ) filter servesCuisine =~ QUOTED_STRING_0 && telephone == PHONE_NUMBER_0 ;
899	show me QUOTED_STRING_0 restaurants with a few ratings that are only NUMBER_0 star quality or lower .	sort ( aggregateRating . reviewCount asc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue <= NUMBER_0 && servesCuisine =~ QUOTED_STRING_0 ) [ 1 ] ;
834	tell me the country of the restaurants with under NUMBER_0 reviews .	[ address . addressCountry ] of sort ( aggregateRating . reviewCount asc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue <= NUMBER_0 ) [ 1 ] ;
1069	i would like to see the author who has more than NUMBER_0 reviews and whose name is equal to GENERIC_ENTITY_org.schema.Restaurant:Person_0	( @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . reviewCount >= NUMBER_0 => @org.schema.Restaurant . Review ( ) filter author == GENERIC_ENTITY_org.schema.Restaurant:Person_0 ) filter in_array ( id , review ) ;
2263	which restaurant has the fewest reviews	sort ( aggregateRating . reviewCount asc of @org.schema.Restaurant . Restaurant ( ) ) [ 1 ] ;
485	i 'd like to know the street address of restaurants at work	[ geo ] of @org.schema.Restaurant . Restaurant ( ) filter geo == $location . work ;
1778	what 's the distance from here to a restaurant with a less than 1 rating ?	[ distance ( geo , $location . current_location ) ] of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue <= 1 ;
497	i 'm interested in the description of restaurants that are the nearest to home that have a review count of less than NUMBER_0	[ description ] of sort ( distance ( geo , $location . home ) asc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . reviewCount <= NUMBER_0 ) [ 1 ] ;
407	give me every restaurant having a rating of at least NUMBER_0	@org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue >= NUMBER_0 ;
886	whats the country of restaurants in GENERIC_ENTITY_tt:country_0 in ?	[ address . addressCountry ] of @org.schema.Restaurant . Restaurant ( ) filter address . addressCountry == GENERIC_ENTITY_tt:country_0 ;
417	tell me what the restaurant town has at least NUMBER_0 ratings	[ geo ] of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue >= NUMBER_0 ;
2513	what is the description of the nearest restaurants with rating fewer than NUMBER_0 to work ?	[ description ] of sort ( distance ( geo , $location . work ) asc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue <= NUMBER_0 ) [ 1 ] ;
382	can you tell me the restaurant with a phone number of PHONE_NUMBER_0 that has the maximum review count ?	sort ( aggregateRating . reviewCount desc of @org.schema.Restaurant . Restaurant ( ) filter geo == $location . current_location && telephone == PHONE_NUMBER_0 ) [ 1 ] ;
874	say what is the image of the farthest away restaurant with more review count than NUMBER_0 from home	[ image ] of sort ( distance ( geo , $location . home ) desc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . reviewCount >= NUMBER_0 ) [ 1 ] ;
1284	tell me what restaurants have a rating of NUMBER_0 or higher and that have QUOTED_STRING_0 cuisine and the highest count of reviews .	sort ( aggregateRating . reviewCount desc of @org.schema.Restaurant . Restaurant ( ) filter aggregateRating . ratingValue >= NUMBER_0 && servesCuisine =~ QUOTED_STRING_0 ) [ 1 ] ;
